Restaurants_Name,Cost_of_two,Areas,Reatings,Discounts
 Hamza Express - Since 1918,Multicuisine₹650 for two,"Shivajinagar, Central Bengaluru"," Hamza Express - Since 1918Shivajinagar, Central BengaluruMulticuisine₹650 for two4.0",Flat 10% + 25% with Bank Offers
 Hamza Express - Since 1918,Multicuisine₹650 for two,"Shivajinagar, Central Bengaluru"," Hamza Express - Since 1918Shivajinagar, Central BengaluruMulticuisine₹650 for two4.0",Flat 10% + 25% with Bank Offers
Savera Lassi Shop,"Beverages, Ice Cream₹2000 for two","Shivajinagar, Central Bengaluru","Savera Lassi ShopShivajinagar, Central BengaluruBeverages, Ice Cream₹2000 for two4.7",Flat 10% + 25% with Bank Offers
Savera Lassi Shop,"Beverages, Ice Cream₹2000 for two","Shivajinagar, Central Bengaluru","Savera Lassi ShopShivajinagar, Central BengaluruBeverages, Ice Cream₹2000 for two4.7",Flat 10% + 25% with Bank Offers
My Breakfast,Multicuisine₹2000 for two,"Shivajinagar, Central Bengaluru","My BreakfastShivajinagar, Central BengaluruMulticuisine₹2000 for two4.0",Flat 10% + 25% with Bank Offers
My Breakfast,Multicuisine₹2000 for two,"Shivajinagar, Central Bengaluru","My BreakfastShivajinagar, Central BengaluruMulticuisine₹2000 for two4.0",Flat 10% + 25% with Bank Offers
Nawabi Chai,Cafe₹200 for two,"Shivajinagar, Central Bengaluru","Nawabi ChaiShivajinagar, Central BengaluruCafe₹200 for two4.0",Flat 10% + 25% with Bank Offers
Nawabi Chai,Cafe₹200 for two,"Shivajinagar, Central Bengaluru","Nawabi ChaiShivajinagar, Central BengaluruCafe₹200 for two4.0",Flat 10% + 25% with Bank Offers
Tipsy Cafe,Fast Food₹2000 for two,"Shivajinagar, Central Bengaluru","Tipsy CafeShivajinagar, Central BengaluruFast Food₹2000 for two4.0",Flat 10% + 25% with Bank Offers
Tipsy Cafe,Fast Food₹2000 for two,"Shivajinagar, Central Bengaluru","Tipsy CafeShivajinagar, Central BengaluruFast Food₹2000 for two4.0",Flat 10% + 25% with Bank Offers
Shahi Restaurant,Multicuisine₹2000 for two,"Shivajinagar, Central Bengaluru","Shahi RestaurantShivajinagar, Central BengaluruMulticuisine₹2000 for two3.0",Flat 10% + 25% with Bank Offers
